timestamp,date,close,change,p_change
1613466000, 2021-02-16,821,,
1613466060, 2021-02-16,823,2,0.002436054
1613466120, 2021-02-16,823,0,0
1613466180, 2021-02-16,823,0,0
1613466240, 2021-02-16,823,0,0
1613466300, 2021-02-16,821.31,-1.69,-0.002053463
1613466360, 2021-02-16,822.3,0.99,0.001205391
1613466420, 2021-02-16,822.3,0,0
1613466480, 2021-02-16,822.3,0,0
1613466540, 2021-02-16,822.3,0,0
1613466600, 2021-02-16,822.3,0,0
1613466660, 2021-02-16,822.3,0,0
1613466720, 2021-02-16,822.3,0,0
1613466780, 2021-02-16,822.3,0,0
1613466840, 2021-02-16,822.3,0,0
1613466900, 2021-02-16,822.3,0,0
1613466960, 2021-02-16,822.3,0,0
1613467020, 2021-02-16,822.3,0,0
1613467080, 2021-02-16,822.3,0,0
1613467140, 2021-02-16,820,-2.3,-0.002797033
1613467200, 2021-02-16,820,0,0
1613467260, 2021-02-16,820,0,0
1613467320, 2021-02-16,818.73,-1.27,-0.00154878
1613467380, 2021-02-16,818.73,0,0
1613467440, 2021-02-16,818.73,0,0
1613467500, 2021-02-16,817.58,-1.15,-0.001404614
1613467560, 2021-02-16,817.58,0,0
1613467620, 2021-02-16,816.2,-1.38,-0.001687908
1613467680, 2021-02-16,816.4,0.2,0.000245038
1613467740, 2021-02-16,816.4,0,0
1613467800, 2021-02-16,817.01,0.61,0.000747183
1613467860, 2021-02-16,817.84,0.83,0.001015899
1613467920, 2021-02-16,817.84,0,0
1613467980, 2021-02-16,817,-0.84,-0.001027096
1613468040, 2021-02-16,817,0,0
1613468100, 2021-02-16,817,0,0
1613468160, 2021-02-16,816,-1,-0.00122399
1613468220, 2021-02-16,816,0,0
1613468280, 2021-02-16,816.3,0.3,0.000367647
1613468340, 2021-02-16,816.3,0,0
1613468400, 2021-02-16,816.3,0,0
1613468460, 2021-02-16,816.89,0.59,0.000722773
1613468520, 2021-02-16,816.89,0,0
1613468580, 2021-02-16,816.89,0,0
1613468640, 2021-02-16,817,0.11,0.000134657
1613468700, 2021-02-16,817,0,0
1613468760, 2021-02-16,817,0,0
