timestamp,date,close,change,p_change
1613466060, 2021-02-16,317.17,,
1613466120, 2021-02-16,317.17,0,0
1613466180, 2021-02-16,317.13,-0.04,-0.000126115
1613466240, 2021-02-16,317.13,0,0
1613466300, 2021-02-16,317.13,0,0
1613466360, 2021-02-16,317.13,0,0
1613466420, 2021-02-16,317.13,0,0
1613466480, 2021-02-16,317.13,0,0
1613466540, 2021-02-16,317.13,0,0
1613466600, 2021-02-16,317.13,0,0
1613466660, 2021-02-16,317.13,0,0
1613466720, 2021-02-16,317.13,0,0
1613466780, 2021-02-16,317.13,0,0
1613466840, 2021-02-16,317.13,0,0
1613466900, 2021-02-16,317.13,0,0
1613466960, 2021-02-16,317,-0.13,-0.000409927
1613467020, 2021-02-16,317,0,0
1613467080, 2021-02-16,317,0,0
1613467140, 2021-02-16,317,0,0
1613467200, 2021-02-16,317,0,0
1613467260, 2021-02-16,317,0,0
1613467320, 2021-02-16,317,0,0
1613467380, 2021-02-16,317,0,0
1613467440, 2021-02-16,316.85,-0.15,-0.000473186
1613467500, 2021-02-16,316.85,0,0
1613467560, 2021-02-16,316.85,0,0
1613467620, 2021-02-16,316.85,0,0
1613467680, 2021-02-16,316.85,0,0
1613467740, 2021-02-16,316.85,0,0
1613467800, 2021-02-16,316.85,0,0
1613467860, 2021-02-16,316.85,0,0
1613467920, 2021-02-16,316.85,0,0
1613467980, 2021-02-16,316.85,0,0
1613468040, 2021-02-16,316.85,0,0
1613468100, 2021-02-16,316.85,0,0
1613468160, 2021-02-16,316.85,0,0
1613468220, 2021-02-16,316.85,0,0
1613468280, 2021-02-16,316.85,0,0
1613468340, 2021-02-16,316.85,0,0
1613468400, 2021-02-16,316.85,0,0
1613468460, 2021-02-16,316.85,0,0
1613468520, 2021-02-16,316.85,0,0
1613468580, 2021-02-16,316.85,0,0
1613468640, 2021-02-16,316.85,0,0
1613468700, 2021-02-16,316.85,0,0
1613468760, 2021-02-16,316.92,0.07,0.000220925
1613468820, 2021-02-16,316.92,0,0
1613468880, 2021-02-16,316.92,0,0
1613468940, 2021-02-16,316.92,0,0
1613469000, 2021-02-16,316.92,0,0
1613469060, 2021-02-16,316.92,0,0
1613469120, 2021-02-16,316.92,0,0
1613469180, 2021-02-16,316.92,0,0
1613469240, 2021-02-16,316.92,0,0
1613469300, 2021-02-16,316.92,0,0
1613469360, 2021-02-16,316.92,0,0
1613469420, 2021-02-16,316.92,0,0
1613469480, 2021-02-16,316.95,0.03,9.46611E-05
1613469540, 2021-02-16,316.96,0.01,3.15507E-05
1613469600, 2021-02-16,316.96,0,0
1613469660, 2021-02-16,317.05,0.09,0.000283948
1613469720, 2021-02-16,317.05,0,0
1613469780, 2021-02-16,317.05,0,0
1613469840, 2021-02-16,317.05,0,0
1613469900, 2021-02-16,317.05,0,0
1613469960, 2021-02-16,317.05,0,0
1613470020, 2021-02-16,317.05,0,0
