,timestamp,change,score
0,1614006000,0.0,0.0
1,1614007800,-1.0853160802635182,57.14285714
2,1614009600,-1.3692087247253688,-34.92063492
3,1614011400,0.10492332526230465,17.77777778
4,1614013200,0.1410948963960424,60.0
5,1614015000,-0.5340633093139056,-80.0
6,1614016800,0.6394603709949421,30.0
7,1614018600,-0.4168956688427477,50.0
8,1614020400,-0.09288175748437714,-66.66666667
9,1614022200,-0.5537665557337088,41.66666667
10,1614024000,-0.39562107088663456,-35.0
11,1614025800,-1.6703846781652938,-40.0
12,1614027600,-1.1592518813634345,18.18181818
13,1614029400,0.06997900629811056,21.81818182
14,1614031200,0.19020979020979212,-30.0
15,1614033000,-0.25964598805070266,40.0
16,1614070800,-2.589223233030091,16.666666669999998
17,1614072600,-1.5804597701149428,-41.66666667
18,1614074400,-0.8452554744525494,75.0
19,1614076200,-3.3715640229089807,-115.38461538
20,1614078000,0.9629595770291556,48.71794871
21,1614079800,1.2631483633400247,-33.33333333
22,1614081600,0.5961251862891207,85.71428571
23,1614083400,0.5629629629629562,-63.49206349
24,1614085200,0.03388332351208282,11.111111110000003
25,1614087000,-0.2989558635111811,50.0
26,1614088800,0.12998522895125486,-43.33333333
27,1614090600,-1.2730866820086144,-70.0
28,1614092400,-2.1680986178558075,50.68965517
29,1614094200,5.021840730671716,10.079575599999998
30,1614096000,1.5895407347081163,2.564102560000002
31,1614097800,-1.7965786271562458,7.843137259999999
32,1614099600,-1.3775510204081698,-63.39869281
33,1614101400,0.9075456359470994,75.55555555000001
34,1614103200,-1.1923420586210578,-31.111111110000003
35,1614105000,2.468312208138773,49.206349210000006
36,1614106800,-0.7928240740740767,-49.206349210000006
37,1614108600,0.6854109549086991,-3.472222219999999
38,1614110400,-0.30126589612119103,47.91666667
39,1614112200,3.17139785571083,-26.666666669999998
40,1614114000,-1.615106242167356,10.0
41,1614115800,0.3291827679977035,-62.5
42,1614117600,1.4978601997146932,37.5
43,1614119400,0.4947294448348534,3.5714285699999984
44,1614121200,-0.002797124555953933,-16.07142857
45,1614123000,0.1832167832167756,87.5
46,1614124800,0.30573355111614453,-66.66666667
47,1614126600,-0.2157272094641551,-20.833333330000002
48,1614157200,0.7587697886881848,37.5
49,1614159000,-1.0229931200597997,-25.0
50,1614160800,1.3986013986013985,41.66666667
51,1614162600,0.13931034482758495,-100.0
52,1614164400,-0.3457252654922096,66.66666666
53,1614166200,-0.414651002073255,66.66666667
54,1614168000,0.3969465648854981,-28.571428569999995
55,1614169800,0.7105728821057269,-14.285714290000008
56,1614171600,0.12354152367878891,42.85714286
57,1614173400,-0.5895256375102762,-66.66666667
58,1614175200,-1.9721417735484854,-4.761904760000004
59,1614177000,0.22509848058525928,8.928571430000002
60,1614178800,-0.21336327905670718,12.5
61,1614180600,-0.4037249606121996,-16.666666669999998
62,1614182400,1.8375446674481988,46.66666667
63,1614184200,0.8557321572217238,-64.61538462
64,1614186000,0.16776908373326277,-22.051282047
65,1614187800,1.0790626158344907,48.333333337
66,1614189600,-1.0077824711043448,-8.333333339999996
67,1614191400,0.6969884063936238,16.666666669999998
68,1614193200,-0.9946452658972865,-11.53846154
69,1614195000,0.1885416236599101,-48.46153846
70,1614196800,-0.18406593406593844,63.84615385
71,1614198600,1.4614812979935603,46.15384615
72,1614200400,0.7826063368055531,-25.0
73,1614202200,-0.37547944283695095,-25.0
74,1614204000,-0.30529813849188003,16.666666669999998
75,1614205800,-0.13550135501355012,-22.22222223
76,1614207600,-0.5223880597014956,-35.353535349
77,1614209400,0.33281047534611674,-31.313131311
78,1614211200,0.4200709634442989,102.22222221999999
79,1614213000,0.07039584123031563,-30.0
80,1614243600,-0.6385281385281422,-16.666666669999998
81,1614245400,-0.6099553425552797,66.66666667
82,1614247200,-0.08219178082192093,-50.0
83,1614249000,0.6676720592267623,16.666666669999998
84,1614250800,-0.03677121494817735,33.33333333
85,1614252600,-0.7697547683923674,0.0
86,1614254400,0.21967460698840155,0.0
87,1614256200,-1.089115692855681,0.0
88,1614258000,-0.41551246537396125,-60.0
89,1614259800,-0.221140472879003,0.0
90,1614261600,0.9060369941874242,10.0
91,1614263400,-0.20444530397425348,-50.0
92,1614265200,-0.05675290339548028,100.0
93,1614267000,-0.3185507326666788,-66.66666667
94,1614268800,-0.7947535152559366,50.0
95,1614270600,0.09103641456582315,16.666666669999998
96,1614272400,-2.1213181277548405,-28.571428569999995
97,1614274200,-1.706957926489307,-38.0952381
98,1614276000,0.29234237509999145,11.111111109999996
99,1614277800,1.6010209408898541,35.55555556
100,1614279600,-0.025692263773917166,-40.0
101,1614281400,0.15419319836670012,26.666666669999998
102,1614283200,-1.1332858161083457,-46.66666667
103,1614285000,-1.1621368322399173,20.0
104,1614286800,-0.35594975856687255,60.0
105,1614288600,-1.0028548422516521,0.0
106,1614290400,1.153504880212948,-80.0
107,1614292200,-0.5847953216374269,22.857142860000003
108,1614294000,-0.22058823529411764,27.142857139999997
109,1614295800,0.23581429624171302,-20.0
110,1614297600,-0.7484193500955788,-64.28571429
111,1614299400,-2.0755248070398946,74.28571429
112,1614330000,3.158850226928895,40.0
113,1614331800,0.4575585146946683,0.0
114,1614333600,-0.43795620437956206,0.0
115,1614335400,-1.906158357771261,0.0
116,1614337200,-0.37369207772795215,0.0
117,1614339000,-0.5326331582895656,-16.666666669999998
118,1614340800,0.3092239233727965,-33.33333333
119,1614342600,1.6390977443608987,-70.0
120,1614344400,-0.24411895250776405,53.33333333
121,1614346200,1.2977382276603633,16.666666669999998
122,1614348000,2.1961932650073206,10.0
